longitude,latitude,crs,lit,name,osm,light:method,light:direction,height,support
11.0581766,49.4921167,EPSG:4326,yes,Johann-Sperl-Straße,n568425796,,,,
11.071833,49.487866,EPSG:4326,yes,Lohe,n568425798,,,,
11.0716417,49.4879821,EPSG:4326,no,Lohe,n568425821,,,,
11.0759536,49.4869448,EPSG:4326,yes,Am Bäumling,n568425826,,,,
11.0757054,49.4868962,EPSG:4326,no,Am Bäumling,n568425828,,,,
11.0449958,49.4918389,EPSG:4326,yes,Wehrenreuthweg,n568729805,,,,
11.0451804,49.4968433,EPSG:4326,yes,Buch Mitte,n568729808,,,,
11.0471793,49.4962135,EPSG:4326,yes,Buch Süd,n568729811,,,,
11.1474241,49.4642172,EPSG:4326,yes,Hüttenbacher Straße,n581949244,,,,
11.1582037,49.4662642,EPSG:4326,yes,Grünreuther Straße,n582582407,,,,
11.1474481,49.4639805,EPSG:4326,yes,Hüttenbacher Straße,n599183026,,,,
11.140702,49.462926,EPSG:4326,yes,Prutzstraße,n599200983,,,,
11.1408119,49.4626444,EPSG:4326,yes,Prutzstraße,n599200984,,,,
11.1676658,49.4674298,EPSG:4326,yes,Hammer,n599598209,,,,
11.0236039,49.3887379,EPSG:4326,no,Lohhof,n603316010,,,,
11.0236211,49.3886603,EPSG:4326,yes,Lohhof,n603316011,,,,
11.0062304,49.5126867,EPSG:4326,yes,Steinacher Straße,n603948101,,,,
11.0111711,49.5270365,EPSG:4326,yes,Großgründlach Mitte,n603948103,,,,
11.0579448,49.4469073,EPSG:4326,no,Austraße,n605019298,,,,
11.0510762,49.4635552,EPSG:4326,no,Westfriedhof Kreuzung,n607278416,,,,
11.0318241,49.4207222,EPSG:4326,yes,Röthenbach,n632514641,,,,
11.0321381,49.4211548,EPSG:4326,yes,Röthenbach,n632514644,,,,
11.0328165,49.4210172,EPSG:4326,yes,Röthenbach,n632514648,,,,
11.0323564,49.4214864,EPSG:4326,yes,Röthenbach,n632514650,,,,
11.0707499,49.4294069,EPSG:4326,yes,Vogelweiherstraße,n632514689,,,,
11.0541262,49.3542233,EPSG:4326,yes,,n685097622,,,,
11.1321689,49.4214428,EPSG:4326,yes,Poststraße,n690847679,,,,
11.1330367,49.4246473,EPSG:4326,yes,Max-Grundig-Platz,n690847689,,,,
11.035048,49.408868,EPSG:4326,yes,Schußleitenweg,n731221257,,,,
11.0354447,49.4083994,EPSG:4326,yes,Schußleitenweg,n731221264,,,,
11.0527746,49.4923179,EPSG:4326,yes,Am Wegfeld,n760642514,,,,
11.0849038,49.4574106,EPSG:4326,yes,,n767323644,,,,
11.1160971,49.4355955,EPSG:4326,yes,Dutzendteich,n767336342,,,,
11.0822764,49.4659841,EPSG:4326,yes,Martinskirche,n822688027,,,,
