"ID","NAME","IATA","ICAO","LATITUDE","LONGITUDE","ALTITUDE","TIMEZONE","DST","TZDBTIME","AIRPORT_TYPE","SOURCE","CITY_ID"
12000,"Sirsa Air Force Station","","VISA",29.56060028076172,75.006103515625,650,,"","","airport","OurAirports",
12001,"Udhampur Air Force Station","","VIUX",32.902198791503906,75.15619659423828,2066,,"","","airport","OurAirports",
12002,"Sri Sathya Sai Airport","PUT","VOPN",14.1492996216,77.7910995483,1558,,"","","airport","OurAirports",313
12003,"Meiktila Air Base","","VYML",20.88640022277832,95.89279174804688,699,,"","","airport","OurAirports",1645
12004,"Changi Air Base (East)","","WSAC",1.3441400528,104.009002686,22,,"","","airport","OurAirports",2323
12005,"Soltsy-2 Air Base","","XLLL",58.139545,30.33042,266,,"","","airport","OurAirports",1136
12006,"Severomorsk-3 Naval Air Base","","XLMV",68.866669,33.716667,564,,"","","airport","OurAirports",1216
12007,"Fedotovo Naval Air Base","","XLWF",59.193031,39.129411,574,,"","","airport","OurAirports",4946
12469,"Bolton Field","","KTZR",39.90119934082031,-83.13690185546875,905,4,"A","","airport","OurAirports",6789
12470,"Baltrum Airport","BMR","EDWZ",53.72472381591797,7.373332977294922,7,1,"E","","airport","OurAirports",5261
13154,"Perry Lefors Field","PPA","KPPA",35.612998962402,-100.99600219727,3245,-5,"A","","airport","OurAirports",2737
13155,"William R. Pogue Municipal Airport","","KOWP",36.1753006,-96.15180206,892,-5,"A","","airport","OurAirports",3268
13156,"Marion County Regional Airport","FLP","KFLP",36.29090118,-92.59030151,719,-5,"A","","airport","OurAirports",6942
13158,"Hutchinson County Airport","BGD","KBGD",35.700901031499995,-101.393997192,3055,-5,"A","","airport","OurAirports",6654
13176,"Budaörs Airfield","","LHBS",47.451099,18.9806,397,1,"E","","airport","OurAirports",5392
13177,"Jakabszállás Airport","","LHJK",46.74720001220703,19.605600357055664,348,1,"E","","airport","OurAirports",5397
13180,"St. Helena Airport","HLE","FHSH",-15.957725,-5.645943,1017,0,"U","","airport","OurAirports",7406
11637,"Las Dunas Airport","","SPLH",-14.036111,-75.759722,1358,-5,"N","","airport","User",3723
11638,"Watsonville Municipal Airport","WVI","KWVI",36.9356994629,-121.790000916,163,-8,"A","","airport","OurAirports",3237
11644,"Gelephu Airport","GLU","VQGP",26.88456,90.46412,980,6,"N","","airport","OurAirports",4223
11648,"Hollister Municipal Airport","HLI","KCVH",36.8932991028,-121.410003662,230,-8,"A","","airport","OurAirports",7091
11649,"Williamsburg Jamestown Airport","","KJGG",37.239200592041016,-76.71610260009766,49,-5,"A","","airport","OurAirports",3279
12008,"Lebyazhye Air Base","","XRWL",50.201698303200004,45.2083015442,381,,"","","airport","OurAirports",4937
12009,"Smolensk North Airport","LNX","XUBS",54.824,32.025,820,,"","","airport","OurAirports",1171
12010,"Rtishchevo Air Base","","XWPR",52.297317,43.7241,673,,"","","airport","OurAirports",1205
12011,"Alpha Airport","ABH","YAPH",-23.646099,146.584,1255,,"","","airport","OurAirports",5867
12012,"Ararat Airport","ARY","YARA",-37.30939865112305,142.98899841308594,1008,,"","","airport","OurAirports",
12013,"Benalla Airport","BLN","YBLA",-36.55189895629883,146.0070037841797,569,,"","","airport","OurAirports",
12014,"Balranald Airport","BZD","YBRN",-34.623600006103516,143.5780029296875,210,,"","","airport","OurAirports",
12015,"Brewarrina Airport","BWQ","YBRW",-29.973899841308594,146.81700134277344,414,,"","","airport","OurAirports",
12016,"Cleve Airport","CVC","YCEE",-33.70970153808594,136.5050048828125,589,,"","","airport","OurAirports",
12017,"Corowa Airport","CWW","YCOR",-35.99470138549805,146.35699462890625,469,,"","","airport","OurAirports",
12018,"Corryong Airport","CYG","YCRG",-36.18280029296875,147.88800048828125,963,,"","","airport","OurAirports",
12019,"Cootamundra Airport","CMD","YCTM",-34.6239013671875,148.0279998779297,1110,,"","","airport","OurAirports",
12020,"Dirranbandi Airport","DRN","YDBI",-28.591699600219727,148.2169952392578,567,,"","","airport","OurAirports",
12021,"Deniliquin Airport","DNQ","YDLQ",-35.5593986511,144.945999146,316,,"","","airport","OurAirports",5944
12022,"Dysart Airport","DYA","YDYS",-22.62220001220703,148.36399841308594,670,,"","","airport","OurAirports",
12023,"Echuca Airport","ECH","YECH",-36.15719985961914,144.76199340820312,323,,"","","airport","OurAirports",
12024,"Forbes Airport","FRB","YFBS",-33.363602,147.934998,760,,"","","airport","OurAirports",5964
12025,"Gunnedah Airport","GUH","YGDH",-30.96109962463379,150.25100708007812,863,,"","","airport","OurAirports",
12026,"Hay Airport","HXX","YHAY",-34.53139877319336,144.8300018310547,305,,"","","airport","OurAirports",
12027,"Hopetoun Airport","HTU","YHPN",-35.715301513671875,142.36000061035156,256,,"","","airport","OurAirports",
12028,"Kerang Airport","KRA","YKER",-35.751399993896484,143.93899536132812,254,,"","","airport","OurAirports",
12029,"Kempsey Airport","KPS","YKMP",-31.074399948120117,152.77000427246094,54,,"","","airport","OurAirports",
12030,"Kingaroy Airport","KGY","YKRY",-26.580799102783203,151.84100341796875,1492,,"","","airport","OurAirports",
12031,"Latrobe Valley Airport","TGN","YLTV",-38.207199,146.470001,180,,"","","airport","OurAirports",2078
12032,"Mareeba Airport","MRG","YMBA",-17.06920051574707,145.41900634765625,1560,,"","","airport","OurAirports",
12528,"Skagit Regional Airport","MVW","KBVS",48.4709014893,-122.42099762,144,-8,"A","","airport","OurAirports",2803
4228,"Las Cruces International Airport","LRU","KLRU",32.289398193359375,-106.9219970703125,4456,-7,"A","America/Denver","airport","OurAirports",7241
4229,"Stephens County Airport","BKD","KBKD",32.71900177,-98.89099884030001,1284,-6,"A","America/Chicago","airport","OurAirports",6667
4230,"Draughon Miller Central Texas Regional Airport","TPL","KTPL",31.15250015258789,-97.40779876708984,682,-6,"A","America/Chicago","airport","OurAirports",2813
4231,"Ozona Municipal Airport","OZA","KOZA",30.735300064087,-101.20300292969,2381,-6,"A","America/Chicago","airport","OurAirports",2736
4235,"Kaadedhdhoo Airport","KDM","VRMT",0.48813098669052124,72.99690246582031,2,5,"U","Indian/Maldives","airport","OurAirports",5721
4236,"Aklavik/Freddie Carmichael Airport","LAK","CYKD",68.223297,-135.00599,23,-7,"A","America/Edmonton","airport","OurAirports",4365
4237,"Déline Airport","YWJ","CYWJ",65.21109771728516,-123.43599700927734,703,-7,"A","America/Edmonton","airport","OurAirports",4448
4238,"Tulita Airport","ZFN","CZFN",64.909697,-125.572998,332,-7,"A","America/Edmonton","airport","OurAirports",681
4239,"Fort Good Hope Airport","YGH","CYGH",66.24079895019531,-128.6510009765625,268,-7,"A","America/Edmonton","airport","OurAirports",4475
4242,"Tanna Airport","TAH","NVVW",-19.45509910583496,169.2239990234375,19,11,"U","Pacific/Efate","airport","OurAirports",1723
4244,"Paulatuk (Nora Aliqatchialuk Ruben) Airport","YPC","CYPC",69.3608381154,-124.075469971,15,-7,"A","America/Edmonton","airport","OurAirports",717
4247,"El Trompillo Airport","SRZ","SLET",-17.8115997314,-63.1715011597,1371,-4,"U","America/La_Paz","airport","OurAirports",1402
4248,"Kulusuk","KUS","",65.566667,-37.1166667,112,-3,"E","America/Godthab","airport","User",6054
4249,"Juancho E. Yrausquin Airport","SAB","TNCS",17.645000457763672,-63.220001220703125,60,-4,"U","America/Curacao","airport","OurAirports",3566
5536,"York Landing Airport","ZAC","CZAC",56.08940124511719,-96.08920288085938,621,-6,"A","America/Winnipeg","airport","OurAirports",826
5537,"Ilford Airport","ILF","CZBD",56.0614013672,-95.613899231,642,-6,"A","America/Winnipeg","airport","OurAirports",4532
5538,"Bathurst Airport","ZBF","CZBF",47.629699707,-65.738899231,193,-4,"A","America/Halifax","airport","OurAirports",4383
5539,"Eastmain River Airport","ZEM","CZEM",52.22639846801758,-78.52249908447266,24,-5,"A","America/Toronto","airport","OurAirports",4458
5540,"Fond-Du-Lac Airport","ZFD","CZFD",59.33440017700195,-107.18199920654297,814,-6,"N","America/Regina","airport","OurAirports",4470
5541,"Gods River Airport","ZGI","CZGI",54.839698791503906,-94.07859802246094,627,-6,"A","America/Winnipeg","airport","OurAirports",4501
5542,"Swan River Airport","ZJN","CZJN",52.120601654052734,-101.23600006103516,1100,-6,"A","America/Winnipeg","airport","OurAirports",779
5543,"Kashechewan Airport","ZKE","CZKE",52.282501220703125,-81.67780303955078,35,-5,"A","America/Toronto","airport","OurAirports",4545
5544,"Muskrat Dam Airport","MSA","CZMD",53.44139862060547,-91.76280212402344,911,-6,"A","America/Winnipeg","airport","OurAirports",786
5545,"Masset Airport","ZMT","CZMT",54.02750015258789,-132.125,25,-8,"A","America/Vancouver","airport","OurAirports",668
5546,"Sachigo Lake Airport","ZPB","CZPB",53.8911018371582,-92.19640350341797,876,-6,"A","America/Winnipeg","airport","OurAirports",818
5547,"Round Lake (Weagamow Lake) Airport","ZRJ","CZRJ",52.943599700927734,-91.31279754638672,974,-6,"A","America/Winnipeg","airport","OurAirports",768
5548,"Sandy Lake Airport","ZSJ","CZSJ",53.06420135498047,-93.34439849853516,951,-6,"A","America/Winnipeg","airport","OurAirports",770
5549,"Shamattawa Airport","ZTM","CZTM",55.8656005859375,-92.0813980102539,289,-6,"A","America/Winnipeg","airport","OurAirports",772
5550,"Churchill Falls Airport","ZUM","CZUM",53.5619010925293,-64.10639953613281,1442,-4,"A","America/Halifax","airport","OurAirports",4429
5551,"Wollaston Lake Airport","ZWL","CZWL",58.10689926147461,-103.1719970703125,1360,-6,"N","America/Regina","airport","OurAirports",845
5552,"Batna Airport","BLJ","DABT",35.752101898199996,6.308589935300001,2697,1,"N","Africa/Algiers","airport","OurAirports",5092
3935,"Nakhon Ratchasima Airport","NAK","VTUQ",14.94950008392334,102.31300354003906,765,7,"U","Asia/Bangkok","airport","OurAirports",1977
3936,"Nakhon Phanom Airport","KOP","VTUW",17.383800506591797,104.64299774169922,587,7,"U","Asia/Bangkok","airport","OurAirports",1975
3937,"Ubon Ratchathani Airport","UBP","VTUU",15.2512998581,104.870002747,406,7,"U","Asia/Bangkok","airport","OurAirports",1976
